tenantId,typeId,id,Value,isActive
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b73,PRAWNS AMBAT TIKHAT,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b74,PRAWNS PICKLE,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b75,CLAMS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b76,CLAM MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b77,SP. CLAMS KOSHIMBIR,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b78,CLAMS BUTTER PEPPER GARLIC,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b79,OYSTER,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b80,OYSTER,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b81,SP. OYSTER MASALA DRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b82,POMFRET,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b83,SP. POMFRET,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b84,POMFRET BUTTER PEPPER,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b85,STEAM POMFRET,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b86,POMFRET PIECES FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b87,STUFFED POMFRET,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b88,SP POMFRET CURRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b89,POMFRET KOSHIMBIR,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b90,POMFRET TIKKA MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b91,POMFRET METHI GARLIC,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b92,SEA FOOD,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b93,BOMBIL FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b94,STUFFED BOMBIL FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b95,BOMBIL MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b96,MANDELI FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b97,SURMAI FRY / HALWA FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b98,FISH FINGERS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b99,BANGDA FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b100,STUFFED BANGDA FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b101,BANGDA AMBAT TIKHAT / HALDIPATTA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b102,SQUID FRY / MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b103,BASA (CHOICE CF FRY: BUTTER PEPPER / STIR FRY / GREEN CHILLI SAUCE),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b104,BASA KOSHIMBIR,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b105,FISH MASALA FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b106,FISH CURRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b107,SP. SURMAI CURRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b108,RAWAS CURRY / BONELESS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b109,RED SNAPPER CURRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b110,HALWA CURRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b111,BABY SHARK MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b112,FISH TIKKA MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b113,MUTTON,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b114,MUTTON CHOP MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b115,MUTTON MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b116,MUTTON MASALA DRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b117,MUTTON LIVER DRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b118,SP. KHEEMA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b119,SP. MUTTON MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b120,MUTTON BHUNA GOSHT,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b121,MUTTON ROGANJOSH,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b122,CHICKEN,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b123,SP. CHICKEN MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b124,CHICKEN MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b125,CHICKEN MASALA DRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b126,SP. CHICKEN MASALA FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b127,CHICKEN LIVER MASALA / FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b128,CHICKEN TIKKA MASALA,TRUE
